time_ps,voltage
28.7,0.30637
28.8,0.30303
28.9,0.299723
29,0.296449
29.1,0.293207
29.2,0.289999
29.3,0.286822
29.4,0.283677
29.5,0.280565
29.6,0.277484
29.7,0.274434
29.8,0.271416
29.9,0.268429
30,0.265472
30.1,0.262546
30.2,0.25965
30.3,0.256785
30.4,0.253949
30.5,0.251143
30.6,0.248367
30.7,0.245619
30.8,0.242901
30.9,0.240211
31,0.23755
31.1,0.234917
31.2,0.232312
31.3,0.229734
31.4,0.227184
31.5,0.224661
31.6,0.222166
31.7,0.219697
31.8,0.217254
31.9,0.214838
32,0.212448
32.1,0.210083
32.2,0.207744
32.3,0.205431
32.4,0.203142
32.5,0.200878
32.6,0.198639
32.7,0.196424
32.8,0.194233
32.9,0.192066
33,0.189923
33.1,0.187803
33.2,0.185706
33.3,0.183632
33.4,0.181581
33.5,0.179552
33.6,0.177546
33.7,0.175561
33.8,0.173599
33.9,0.171657
34,0.169738
34.1,0.167839
34.2,0.165961
34.3,0.164104
34.4,0.162268
34.5,0.160452
34.6,0.158655
34.7,0.156879
34.8,0.155122
34.9,0.153385
35,0.151667
35.1,0.149968
35.2,0.148288
35.3,0.146626
35.4,0.144983
35.5,0.143358
35.6,0.141751
35.7,0.140162
35.8,0.13859
35.9,0.137037
36,0.1355
36.1,0.13398
36.2,0.132478
36.3,0.130992
36.4,0.129522
36.5,0.128069
36.6,0.126632
36.7,0.125211
36.8,0.123806
36.9,0.122417
37,0.121043
37.1,0.119685
37.2,0.118341
37.3,0.117013
37.4,0.1157
37.5,0.114401
37.6,0.113116
37.7,0.111846
37.8,0.11059
37.9,0.109349
38,0.108121
38.1,0.106907
38.2,0.105706
38.3,0.104519
38.4,0.103345
38.5,0.102184
38.6,0.101037
38.7,0.0999016
38.8,0.0987794
38.9,0.0976698
39,0.0965726
39.1,0.0954877
39.2,0.0944149
39.3,0.0933541
39.4,0.0923053
39.5,0.0912682
39.6,0.0902427
39.7,0.0892287
39.8,0.088226
